dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,thL,thR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,szRelL,szRelR,annuR,annuWidth,trialT,trialN
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.85,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.7,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.55,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.4,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.3,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.85,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.7,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.55,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.4,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.3,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.85,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.7,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.55,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.4,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.3,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.85,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.7,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.55,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.4,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.3,0,0,0.7,4
