dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,thL,thR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,annuR,annuWidth,trialT,trialN
0,0,0,0,256,256,0.1,0.1,0.01,2.4,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,0.01,2.4,0.05,0.05,0,0,0,0,1,0,0,0,2,84,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,0.01,2.4,0.05,0.05,0,0,0,0,1,0,0,0,2,72,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,0.01,2.4,0.05,0.05,0,0,0,0,1,0,0,0,2,60,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,0.01,2.4,0.05,0.05,0,0,0,0,1,0,0,0,2,48,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,0.01,2.4,0.05,0.05,0,0,0,0,1,0,0,0,2,36,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,2.4,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,2.4,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,84,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,2.4,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,72,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,2.4,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,60,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,2.4,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,48,32,0,0,1,8
0,0,0,0,256,256,0.1,0.1,2.4,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,36,32,0,0,1,8
