vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,fixCross,fovGap,fovFade,periGap,periFade,colStart,colStep,flickRate,trialN
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.7,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.75,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.8,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.85,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.9,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.95,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,1,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.7,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.75,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.8,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.85,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.9,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,0.95,0.03,10,1
0,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,1,0,2,32,48,1,0.03,10,1
