dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,annuR,annuWidth,trialT,trialN
0,0,0,0,256,256,0.1,0.1,0.6,0.01,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,1.2,0.01,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,2.4,0.01,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,4.8,0.01,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,17.2,0.01,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,0.01,0.6,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,0.6,0.6,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,1.2,0.6,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,2.4,0.6,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,4.8,0.6,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,9.6,0.6,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,17.2,0.6,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,0.01,1.2,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,0.6,1.2,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,1.2,1.2,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
0,0,0,0,256,256,0.1,0.1,2.4,1.2,0.05,0.05,0,0,1,0,0,0,2,96,32,0,0,1,2
