dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,thL,thR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,szRelL,szRelR,annuR,annuWidth,tOffL,tOffR,trialT,trialN
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.85,1,0,0,0.2,0,0.9,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.7,1,0,0,0.4,0,1.1,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.55,1,0,0,0.6,0,1.3,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.4,1,0,0,0.8,0,1.5,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.3,1,0,0,1,0,1.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.85,1,0,0,0.2,0,0.9,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.7,1,0,0,0.4,0,1.1,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.55,1,0,0,0.6,0,1.3,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.4,1,0,0,0.8,0,1.5,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0.3,1,0,0,1,0,1.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.85,0,0,0,0.2,0.9,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.7,0,0,0,0.4,1.1,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.55,0,0,0,0.6,1.3,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.4,0,0,0,0.8,1.5,4
0,0,0,0,256,256,0.1,0.1,0.01,9.6,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.3,0,0,0,1,1.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,1,0,0,0,0,0.7,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.85,0,0,0,0.2,0.9,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.7,0,0,0,0.4,1.1,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.55,0,0,0,0.6,1.3,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.4,0,0,0,0.8,1.5,4
0,0,0,0,256,256,0.1,0.1,9.6,0.01,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,1,0.3,0,0,0,1,1.7,4
