dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,thL,thR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,annuR,annuWidth,trialT,trialN
0,180,0.3,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.6,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,1.2,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,2.4,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,4.8,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,9.6,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.3,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.6,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,1.2,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,2.4,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,4.8,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,9.6,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.3,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.6,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,1.2,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,2.4,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,4.8,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,9.6,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.3,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,2.4,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,4.8,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0,2.4,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.3,2.4,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.6,2.4,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,1.2,2.4,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,2.4,2.4,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,4.8,2.4,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,9.6,2.4,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0,4.8,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.3,4.8,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.6,4.8,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,1.2,4.8,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,2.4,4.8,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,4.8,4.8,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,9.6,4.8,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.3,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,0.6,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,2.4,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,4.8,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
0,180,9.6,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.3,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.6,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,1.2,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,2.4,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,4.8,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,9.6,0,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.3,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.6,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,1.2,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,2.4,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,4.8,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,9.6,0.3,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.3,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.6,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,1.2,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,2.4,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,4.8,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,9.6,0.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.3,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,0.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,1.2,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,2.4,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
180,0,4.8,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,1,0,2,96,32,0,0,1,1
