dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,annuR,annuWidth,trialT,trialN
0,180,0,0,256,256,0.1,0.1,0.6,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,1.2,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,2.4,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,4.8,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,9.6,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.1,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.6,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,1.2,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,2.4,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,4.8,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,9.6,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.1,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.6,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,1.2,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,2.4,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,4.8,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,9.6,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.1,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.6,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,1.2,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,2.4,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,4.8,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,9.6,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.1,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.6,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,1.2,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,2.4,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,4.8,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,9.6,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.1,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,0.6,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,1.2,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,2.4,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,4.8,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
0,180,0,0,256,256,0.1,0.1,9.6,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.6,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,1.2,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,2.4,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,4.8,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,9.6,0.1,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.1,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.6,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,1.2,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,2.4,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,4.8,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,9.6,0.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.1,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.6,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,1.2,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,2.4,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,4.8,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,9.6,1.2,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.1,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.6,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,1.2,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,2.4,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,4.8,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,9.6,2.4,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.1,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.6,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,1.2,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,2.4,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,4.8,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,9.6,4.8,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.1,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,0.6,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,1.2,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,2.4,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
180,0,0,0,256,256,0.1,0.1,4.8,9.6,0.05,0.05,0,0,1,0,0,0,0,96,32,2,96,5,1
